,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
2.87,-3.360786024,-3.026047539,-3.009067169,-2.958454729,-2.956773291,-2.948196243,-2.956045172,-2.903744561,-3.026350581,-2.957263397,-2.956558153,-2.925761006,-2.891548249,-3.026350581,-2.957263397,-2.956558153,-2.925761006,-2.891548249
2.88,-3.36079373,-3.026036912,-3.009213058,-2.958430031,-2.956760966,-2.948209726,-2.956032611,-2.903688225,-3.026332543,-2.957247282,-2.956542805,-2.925759254,-2.891364387,-3.026332543,-2.957247282,-2.956542805,-2.925759254,-2.891364387
2.89,-3.360801178,-3.026026524,-3.009358636,-2.958405509,-2.956748897,-2.948223204,-2.956020313,-2.903632022,-3.026314853,-2.957231441,-2.956527731,-2.92575768,-2.891181533,-3.026314853,-2.957231441,-2.956527731,-2.92575768,-2.891181533
2.9,-3.360808376,-3.026016368,-3.009503875,-2.95838116,-2.956737078,-2.948236667,-2.956008271,-2.903575946,-3.026297501,-2.957215867,-2.956512925,-2.925756276,-2.890999806,-3.026297501,-2.957215867,-2.956512925,-2.925756276,-2.890999806
2.91,-3.360815333,-3.026006436,-3.00964875,-2.958356982,-2.956725502,-2.948250108,-2.95599648,-2.90351999,-3.026280481,-2.957200552,-2.956498381,-2.925755034,-2.890819363,-3.026280481,-2.957200552,-2.956498381,-2.925755034,-2.890819363
2.92,-3.360822056,-3.025996724,-3.009793232,-2.95833297,-2.956714163,-2.948263518,-2.955984933,-2.903464148,-3.026263786,-2.957185489,-2.956484092,-2.925753946,-2.89064041,-3.026263786,-2.957185489,-2.956484092,-2.925753946,-2.89064041
2.93,-3.360828554,-3.025987226,-3.009937296,-2.958309122,-2.956703054,-2.948276891,-2.955973623,-2.903408414,-3.026247407,-2.957170671,-2.956470054,-2.925753005,-2.890463223,-3.026247407,-2.957170671,-2.956470054,-2.925753005,-2.890463223
2.94,-3.360834834,-3.025977934,-3.010080917,-2.958285436,-2.95669217,-2.94829022,-2.955962546,-2.903352783,-3.026231337,-2.957156092,-2.95645626,-2.925752204,-2.890288187,-3.026231337,-2.957156092,-2.95645626,-2.925752204,-2.890288187
2.95,-3.360840903,-3.025968845,-3.010224072,-2.958261909,-2.956681504,-2.948303498,-2.955951694,-2.903297248,-3.026215571,-2.957141744,-2.956442704,-2.925751535,-2.890115852,-3.026215571,-2.957141744,-2.956442704,-2.925751535,-2.890115852
2.96,-3.360846768,-3.025959952,-3.010366737,-2.958238539,-2.956671051,-2.948316719,-2.955941062,-2.903241804,-3.026200101,-2.957127622,-2.956429382,-2.925750992,-2.889947026,-3.026200101,-2.957127622,-2.956429382,-2.925750992,-2.889947026
2.97,-3.360852436,-3.02595125,-3.01050889,-2.958215324,-2.956660806,-2.948329877,-2.955930645,-2.903186446,-3.02618492,-2.957113719,-2.956416288,-2.925750568,-2.889782932,-3.02618492,-2.957113719,-2.956416288,-2.925750568,-2.889782932
2.98,-3.360857913,-3.025942735,-3.010650509,-2.958192257,-2.956650762,-2.948342966,-2.955920438,-2.903131169,-3.026170023,-2.957100029,-2.956403417,-2.925750257,-2.889625474,-3.026170023,-2.957100029,-2.956403417,-2.925750257,-2.889477664
2.99,-3.360863206,-3.0259344,-3.010791574,-2.958169345,-2.956640915,-2.948355982,-2.955910435,-2.903075968,-3.026155403,-2.957086547,-2.956390764,-2.925750052,-2.889477664,-3.026155403,-2.957086547,-2.956390764,-2.925750052,-2.889344196
3,-3.360868321,-3.025926242,-3.010932064,-2.958146583,-2.95663126,-2.948368919,-2.955900632,-2.903020838,-3.026141053,-2.957073266,-2.956378325,-2.925749948,-2.889344196,-3.026141053,-2.957073266,-2.956378325,-2.925749948,-2.889231809
